code,company_name,market,feature,business_composition,industries,themes,business1,business2,business3,business_sales1,business_sales2,business_sales3,business_profit1,business_profit2,business_profit3,overseas
6302,住友重機械工業,東証プライム,総合重機大手。建機・プラントのほか半導体製造装置、産業用変減速機、射出成形機に強い,メカトロ19(2)、インダストリアル27(7)、ロジ&コンストラクション37(6)、エネ&ライフライン他18(3)【海外】60 <24.12>,"建設機械,産業機械,エレベータ",半導体製造装置,ロジ&コンストラクション,インダストリアル,メカトロ,37,27,19,6,7,2,60
6305,日立建機,東証プライム,油圧ショベル軸に建機で国内2位、世界で3位圏。鉱山機械も展開。日立製作所が一部株式売却,建設機械91(10)、スペシャライズド・パーツ・サービス9(11)【海外】84 <25.3>,"建設機械,関東",インド,建設機械,スペシャライズド・パーツ・サービス,,91,9,,10,11,,84
6306,日工,東証プライム,土木用プラントメーカー。アスファルトプラントで首位。環境機械も手がける。中国で現地生産,アスファルトプラント関連40(5)、コンクリートプラント関連29(12)、環境及び搬送関連7(26)、他25(11)【海外】8 <25.3>,"建設機械,プラント,近畿",アスファルト,アスファルトプラント関連,コンクリートプラント関連,環境及び搬送関連,40,29,7,5,12,26,8
6307,サンセイ,東証スタンダード,ビル用ゴンドラ、舞台装置のパイオニア。レンタルゴンドラや船舶修理、魚礁など海洋関連も,ゴンドラ・舞台70(8)、海洋関連30(27) <25.3>,"建設,近畿",レンタル,ゴンドラ・舞台,海洋関連,,70,30,,8,27,,
6309,巴工業,東証プライム,中堅化学機械メーカー。デカンター型遠心分離機で国内首位。輸入化学品商材の扱い大きい,機械製造販売25(9)、化学工業製品販売75(9)【海外】20 <24.10>,"化学,関東",パワー半導体,化学工業製品販売,機械製造販売,,75,25,,9,9,,20
6310,井関農機,東証プライム,農業機械専業で3位。コンバイン、田植え機に強み。稲作・野菜関連機械、農業用施設にも注力,整地用機械34、栽培用機械5、収穫調製用機械10、作業機・補修用部品・修理収入30、他21【海外】33 <24.12>,"農業,スマート農,関東",ロボット,,,,,,,,,,33
6312,フロイント産業,東証スタンダード,製薬用造粒・コーティング装置が柱。医薬添加剤・菓子品質保持剤も。全固体電池用装置開発中,機械72(7)、化成品28(12)【海外】32 <25.2>,"医薬品,関東",インド,機械,化成品,,72,28,,7,12,,32
6315,TOWA,東証プライム,封止や切断加工など半導体後工程用製造装置大手。精密金型製作に競争力。中国等に生産拠点,半導体製造装置92(17)、メディカルデバイス4(20)、レーザ加工装置4(3)【海外】88 <25.3>,"半導体装置,近畿",HBM,半導体製造装置,メディカルデバイス,レーザ加工装置,92,4,4,17,20,3,88
6316,丸山製作所,東証スタンダード,防除機の大手で農家向けが7割占める。刈り払機、噴霧機、消防機械、工業用高圧ポンプにも強み,農林業用機械76(4)、工業用機械17(21)、他機械7(4)、不動産賃貸他0(56)【海外】25 <24.9>,"農業,スマート農,防災",インド,農林業用機械,工業用機械,他機械,76,17,7,4,21,4,25
6317,北川鉄工所,東証スタンダード,自動車用などの鋳造部品、工作機械器具、立駐、産業機械など多角展開。メキシコに製造拠点,キタガワマテリアルテクノロジー43(-1)、キタガワサンテック35(8)、キタガワグローバルハンド16(5)、他6(17) <25.3>,"工作機械,中国四国",インド,キタガワサンテック,キタガワグローバルハンド,,35,16,,8,5,,
6322,タクミナ,東証スタンダード,定量ポンプの大手。環境装置メーカー向け水処理・塩素殺菌用を基盤に、高精密塗工用も拡大,高性能Sポンプ39、汎用型薬液注入ポンプ26、C移送ポンプ7、計測機器・装置13、流体機器4、Cタンク7、他4【海外】15 <25.3>,,ポンプ,,,,,,,,,,15
6323,ローツェ,東証プライム,半導体や液晶工場に導入されるウエハ、ガラス基板の搬送装置を製造。台湾や米国に大口顧客,半導体関連装置82、分析装置3、FPD関連装置7、ライフサイエンス1、部品・修理他7【海外】90 <25.2>,"半導体装置,中国四国",ベトナム,,,,,,,,,,90
