code,company_name,market,feature,business_composition,industries,themes,business1,business2,business3,business_sales1,business_sales2,business_sales3,business_profit1,business_profit2,business_profit3,overseas
1301,極洋,東証プライム,水産品の貿易、加工、買い付け主力。すしネタに強み。加工食品は業務用が軸。海外加工比率高い,水産55(3)、生鮮22(5)、食品22(3)、物流サービス1(10)、他0(12)【海外】11 <25.3>,"漁業,関東",水産,水産,生鮮,食品,55,22,22,3,5,3,11
130A,Veritas In Silico,東証グロース,mRNA標的低分子創薬技術を製薬会社に提供。共同創薬研究などによる契約金収入が柱,創薬プラットフォーム100 <24.12>,,創薬,,,,,,,,,,
1332,ニッスイ,東証プライム,水産大手で加工・商事のほか日本・南米で養殖。国内外で食品事業展開。EPAなどファインも,水産41(2)、食品53(6)、ファイン2(5)、物流2(9)、他2(5)【海外】42 <25.3>,"加工食品,漁業,倉庫",水産,食品,水産,ファイン,53,41,2,6,2,5,42
1333,マルハニチロ,東証プライム,水産最大手。国内外に強固な流通網持つ。冷食・缶詰など加工食品も大手。畜産商事や化成品も,水産資源23(1)、食材流通58(2)、加工食品16(7)、他2(13) <25.3>,"加工食品,漁業,倉庫",水産,食材流通,水産資源,加工食品,58,23,16,2,1,7,
135A,VRAIN Solution,東証グロース,製造現場に設置するAI外観検査システムを開発・販売、製造業向けDXコンサルも手がける,AIシステム83、DXコンサルティング17 <25.2>,AI,AI,,,,,,,,,,
1375,ユキグニファクトリー,東証プライム,マイタケ軸にキノコ量産、蘭のマッシュルーム専業買収、素材生かす加工品育成、神明HD傘下,まいたけ54、エリンギ10、ぶなしめじ20、茸他15、他1 <25.3>,"農業,中部",人工肉,,,,,,,,,,
1376,カネコ種苗,東証スタンダード,野菜・牧草種子など種苗事業や農薬が収益柱。農業資材や花きも販売。利益は下期の比重高い,種苗15(8)、花き14(1)、農材49(5)、施設材22(2) <24.5>,"農業,関東",種苗,農材,施設材,種苗,49,22,15,5,2,8,
1377,サカタのタネ,東証プライム,野菜と花きの種苗で世界上位、米州やインド等成長市場に投資、国内は農業資材や造園緑化強化,国内卸売14(38)、海外卸売77(26)、小売6(-4)、他4(1)【海外】77 <24.5>,"農業,関東",インド,海外卸売,国内卸売,,77,14,,26,38,,77
1379,ホクト,東証プライム,ブナシメジ、エリンギなどキノコで食品スーパー等に全国展開。米国、台湾など海外は拡大へ,国内きのこ66(13)、海外きのこ9(15)、加工品10(5)、化成品15(3)【海外】10 <25.3>,"農業,中部",米国,国内きのこ,化成品,加工品,66,15,10,13,3,5,10
137A,Cocolive,東証グロース,不動産向け営業支援クラウドサービス『KASIKA』を自社開発。導入先は1000社超,クラウドサービス100 <24.5>,,営業支援,,,,,,,,,,
1380,秋川牧園,東証スタンダード,無農薬・無投薬の食肉、鶏卵、牛乳等を製造販売。主力の生協経由に加えて直販宅配を強化,生産卸売79(6)、直販21(2) <25.3>,"農業,中国四国",鶏肉・鶏卵,生産卸売,直販,,79,21,,6,2,,
1381,アクシーズ,東証スタンダード,鶏肉国内大手。ケンタッキー(KFC)と食肉卸向け柱。飼料製造から加工まで一貫。外食FCも,食品84(4)、外食14(9)、エネルギー2(69) <24.6>,"農業,畜産,九州沖縄",鶏肉・鶏卵,食品,外食,エネルギー,84,14,2,4,9,69,
1382,ホーブ,東証スタンダード,夏秋は自社品種、冬は仕入れたイチゴ果実を大手洋菓子メーカー等に販売。種馬鈴薯も手がける,いちご果実・青果89(7)、種苗2(50)、馬鈴薯3(1)、運送6(6) <24.6>,"農業,北海道東北",種苗,いちご果実・青果,運送,馬鈴薯,89,6,3,7,6,1,
1383,ベルグアース,東証スタンダード,接ぎ木したトマト、キュウリ、ナス等の苗を開発、生産販売。花き進出。閉鎖型施設や中韓開拓も,野菜苗・苗関連87(8)、農業・園芸用タネ資材販売12(1)、小売2(-11) <24.10>,"農業,中国四国",種苗,野菜苗・苗関連,農業・園芸用タネ資材販売,,87,12,,8,1,,
1384,ホクリヨウ,東証スタンダード,採卵養鶏場大手、北海道でシェア5割。雛からの一貫生産や直接販売に特徴、本州開拓を強化へ,鶏卵97、食品3、他0 <25.3>,"農業,畜産,北海道東北",鶏肉・鶏卵,,,,,,,,,,
138A,光フードサービス,東証グロース,立ち飲み居酒屋『焼きとん大黒』『魚椿』など中部地方地盤に展開。駅前立地、狭小店舗に特色,直営店売上95、業務委託店売上4、FC売上1、他1 <24.11>,外食（居酒）,FC,,,,,,,,,,
1401,エムビーエス,東証グロース,独自研磨法と特殊コーティング剤での外装リフォーム会社。直接施工と並行し契約工務店拡大,ホームメイキャップ92(18)、建築工事8(14)、他1(7) <24.5>,"不動産,リフォーム,中国四国",防災・減災,ホームメイキャップ,建築工事,,92,8,,18,14,,
1407,ウエストホールディングス,東証スタンダード,太陽光発電所の開発、建設、保守を展開、陸上風力も。蓄電所を柱に育成、タイで自家発電所も,再生可能エネルギー83(20)、省エネルギー3(24)、電力10(32)、メンテナンス4(32)、他0(100) <24.8>,"脱炭素,中国四国",ペロブスカイト,再生可能エネルギー,電力,メンテナンス,83,10,4,20,32,32,
1414,ショーボンドホールディングス,東証プライム,橋梁、道路などインフラ補修工事の専業。補修材料の開発・販売から施工まで一貫体制。好財務,国内建設95(23)、他5(13) <24.6>,"建設,防災,関東",政策保有株,国内建設,,,95,,,23,,,
1417,ミライト・ワン,東証プライム,通信工事大手。NTT向け主体。22年に大手ゼネコンの西武建設を買収。非通信領域を強化中,環境・社会イノベーション35、ICTソリューション25、NTT33、マルチキャリア7 <25.3>,"専門工事,建設,関東",データセンター,,,,,,,,,,
1418,インターライフホールディングス,東証スタンダード,遊技場・店舗内装工事が主力、音響システム・照明設備に強み。関西圏強化。配当性向40%以上,内装工事57(5)、音響・照明設備34(9)、設備・メンテナンス8(-1) <25.2>,"建設,関東",大阪・関西万博,内装工事,音響・照明設備,,57,34,,5,9,,
1419,タマホーム,東証プライム,ローコスト系の注文住宅会社。首都圏郊外や地方を中心に展開。分譲住宅やオフィス区分販売も,住宅75(4)、不動産22(6)、金融0(20)、エネルギー0(27)、他2(5) <24.5>,"戸建て,関東",注文住宅,住宅,不動産,金融,75,22,0,4,6,20,
141A,トライアルホールディングス,東証グロース,九州地盤。郊外大型ディスカウント店が主力。自社IT活用で効率追求。25年7月、西友買収へ,流通小売100(3)、リテールAI0(-11)、他0(0) <24.6>,"スーパー,ディスカウント,九州沖縄",総菜,流通小売,,,100,,,3,,,
1420,サンヨーホームズ,東証スタンダード,戸建て住宅、マンション、賃貸・福祉住宅の設計・販売が主。近畿中心に首都圏、中部等で展開,住宅44(0)、マンション45(8)、他11(1) <25.3>,"戸建て,マンション,近畿",リフォーム・リノベーション,マンション,住宅,,45,44,,8,0,,
1429,日本アクア,東証プライム,住宅・建築物用のウレタン断熱材を生産・施工。ヤマダHD傘下のヒノキヤグループの子会社,戸建45、建築物31、防水2、原料販売7、他14 <24.12>,"住宅設備,関東",断熱材,,,,,,,,,,
142A,ジンジブ,東証グロース,高校生特化の採用支援や高卒社会人の教育、研修サービス。求人サイト軸に企業説明会など展開,採用領域94、教育領域5、他1 <25.3>,,イベント,,,,,,,,,,
1430,ファーストコーポレーション,東証スタンダード,首都圏軸に分譲マンション建設。用地手当てから建築まで一貫の造注方式に強み。福岡にも進出,建設77(7)、不動産21(16)、他1(-228) <24.5>,"マンション,関東",再開発,建設,不動産,,77,21,,7,16,,
1431,Lib Work,東証グロース,熊本県、福岡県地盤の注文住宅メーカー。関東にも展開。ネット中心の販売から展示場も活用へ,戸建住宅100 <24.6>,"戸建て,九州沖縄",注文住宅,,,,,,,,,,
1433,ベステラ,東証プライム,製鉄所や発電所、石油化学等のプラント解体工事マネジメント会社。複数の特許工法を有する,解体・メンテナンス97(17)、他3(24) <25.1>,"建設,関東",ロボット,解体・メンテナンス,,,97,,,17,,,
1434,JESCOホールディングス,東証スタンダード,電気・通信設備の独立系工事会社。設計・調達・施工管理(EPC)一貫受注。ベトナムでも実績,国内EPC76(8)、アセアンEPC9(-25)、不動産16(32) <24.8>,"建設,関東",ベトナム,国内EPC,不動産,,76,16,,8,32,,
1435,robot home,東証スタンダード,アパート建築のマッチングサイトで成長。18年の不祥事を経て、IoT活用の賃貸管理に軸足,AI・IoT5(37)、robot home95(19)、他-(-) <24.12>,"マンショ管,関東",DX化支援,robot home,AI・IoT,,95,5,,19,37,,
1436,グリーンエナジー&カンパニー,東証グロース,徳島県発祥。祖業の建築請負から投資家向け小規模太陽光発電所が主柱に。非FIT型開発に力,産業と社会の脱炭素32(12)、住まいの脱炭素56(7)、アセット管理12(24) <24.4>,"電力ガス,関東",発電所,住まいの脱炭素,産業と社会の脱炭素,アセット管理,56,32,12,7,12,24,
1438,岐阜造園,東証スタンダード,造園緑化専業で唯一の上場会社。設計・施工・メンテの一貫体制に強み。積水ハウスとの関係強化,ランドスケープ44、ガーデンエクステリア56 <24.9>,"建設,中部",首都圏,,,,,,,,,,
143A,イシン,東証グロース,企業の自治体向けマーケティング支援が柱。新興企業支援等も。ポータルのストック収益成長中,公民共創39(31)、グローバルイノベーション30(39)、メディアPR31(58) <25.3>,,自治体,公民共創,メディアPR,グローバルイノベーション,39,31,30,31,58,39,
1443,技研ホールディングス,東証スタンダード,法面工事、消波ブロック型枠貸与、放射線防護設備建築が柱。フリージア系企業群が過半保有,土木関連15(14)、建築関連56(14)、型枠貸与関連28(31)、他2(12) <25.3>,"建設,関東",電磁波シールド,建築関連,型枠貸与関連,土木関連,56,28,15,14,31,14,
1444,ニッソウ,東証グロース,首都圏で賃貸住居・事務所の原状回復工事を中小不動産会社から受注する施工業者。中古再生も,原状回復45、リノベーション34、ハウスクリーニング・入居中メンテナンス2、不動産6、他12 <24.7>,"建設,リフォーム,関東",M&A,,,,,,,,,,
1446,キャンディル,東証スタンダード,住宅や商業施設等の補修・点検会社。サカイ引越センターと資本業務提携。全国に技術者配置,リペアサービス33、住環境向け建築サービス29、商環境向け建築サービス32、商材販売5 <24.9>,"建設,リフォーム,関東",商業施設,,,,,,,,,,
1447,SAAFホールディングス,東証グロース,地盤調査改良が柱。官公庁向けITコンサルやシステム開発、人材事業も。利益は期末集中,コンサル7(12)、システム開発12(8)、人材20(0)、地盤調査改良57(3)、保証検査1(26)、建設テック2(8)、海外1(-68)、他1(-33) <25.3>,"建設,関東",DX化支援,地盤調査改良,人材,システム開発,57,20,12,3,0,8,
1450,TANAKEN,東証スタンダード,建築構造物の解体工事の施工管理に特化。付帯工事をワンストップで受注施工。元請け比率高い,解体100 <25.3>,"建設,関東",再開発,,,,,,,,,,
145A,L is B,東証グロース,現場作業に適したビジネスチャットを軸にDX化支援サービスを展開。建設業向けが特に強い,DXソリューション100 <24.12>,,働き方改革,,,,,,,,,,
146A,コロンビア・ワークス,東証スタンダード,新機軸の企画で勝負する総合不動産。高付加価値物件の開発に特徴。賃貸管理やホテル運営も,不動産開発100 <24.12>,マンショ管,ホテル,,,,,,,,,,
147A,ソラコム,東証グロース,IoT向けのデータ通信を軸に、デバイスやクラウドを国内外で展開。KDDIの持分法会社,リカーリング収益73、インクリメンタル収益27【海外】42 <25.3>,"ソフト（業界）,関東",クラウド,,,,,,,,,,42
148A,ハッチ・ワーク,東証グロース,月極駐車場のオンライン管理支援サービスを提供、滞納保証料収入が収益源。貸会議室運営も,月極イノベーション59(26)、ビルディングイノベーション40(27)、他0(43) <24.12>,不動産,クラウド,月極イノベーション,ビルディングイノベーション,,59,40,,26,27,,
1491,中外鉱業,東証スタンダード,金など貴金属をリサイクル販売。不動産、中古機械、アニメグッズ販売も。先物投資は当面休止,貴金属97(1)、機械0(3)、コンテンツ2(22)、他0(-40) <25.3>,"非鉄金属,関東,リサイクル",アニメ,貴金属,コンテンツ,機械,97,2,0,1,22,3,
149A,シンカ,東証グロース,電話とクラウドを結ぶ営業支援ツール『カイクラ』をサブスク展開。メール、SMSにも対応,初期売上15、月額売上71、従量課金売上13、他0 <24.12>,,クラウド,,,,,,,,,,
150A,JSH,東証グロース,障害者雇用支援で農園事業。九州から他地域へ拡大。精神疾患者の訪問診療・看護サービス提供,地方創生63(22)、在宅医療37(11)、他0(37) <25.3>,,障害者雇用,地方創生,在宅医療,,63,37,,22,11,,
1514,住石ホールディングス,東証スタンダード,住友石炭が母体。国内炭撤退、豪州炭鉱の配当金が利益柱。医療・建設コンサルの麻生が親会社,石炭93(5)、新素材3(25)、採石4(25)【海外】0 <25.3>,,石炭,石炭,採石,新素材,93,4,3,5,25,25,
1515,日鉄鉱業,東証プライム,日本製鉄系。石灰石、銅精鉱、電気銅主力。機械、環境、不動産も。チリ銅鉱山など海外採鉱拡大,鉱石32(11)、金属58(1)、機械・環境8(13)、不動産2(58)、再生可能エネルギー1(27)【海外】23 <25.3>,"非鉄金属,関東",銅,金属,鉱石,機械・環境,58,32,8,1,11,13,23
1518,三井松島ホールディングス,東証プライム,23年度石炭事業撤退で事業投資会社に転換。飲料ストロー等ニッチ企業をM&Aで取り込み,生活消費財44(9)、産業用製品49(13)、金融他7(34)、エネルギー-(-)【海外】22 <25.3>,九州沖縄,M&A,産業用製品,生活消費財,金融他,49,44,7,13,9,34,22
151A,ダイブ,東証グロース,リゾートバイトに特化した人材派遣・紹介を展開。非観光地でのグランピング施設運営事業も,観光HR95(8)、地方創生4(-64)、情報システム1(-33) <24.6>,,インバウンド,観光HR,,,95,,,8,,,
153A,カウリス,東証グロース,銀行や証券会社向けにマネロン対策の不正検知ツール『フロードアラート』をSaaSで提供,マネー・ローンダリング対策等100 <24.12>,ソフト（業界）,キャッシュレス,,,,,,,,,,
155A,情報戦略テクノロジー,東証グロース,発注企業との直契約で提案から開発まで手がけるシステム会社。要件定義外への対応力に強み,DX関連100 <24.12>,,システム開発・構築・運用,,,,,,,,,,
156A,マテリアルグループ,東証グロース,PRコンサルに軸足。デジタルマーケが拡大。PRプラットフォームも育成中。下期偏重,PRコンサルティング86(24)、デジタルマーケティング10(28)、PRプラットフォーム5(-7) <24.8>,PR・IR,PR,PRコンサルティング,デジタルマーケティング,,86,10,,24,28,,
157A,グリーンモンスター,東証グロース,投資体験アプリ開発・運用。顧客獲得の成果報酬が主な収益源。子会社で資産運用の研修相談も,投資学習支援100 <24.6>,,新NISA,,,,,,,,,,
1605,INPEX,東証プライム,原油・ガス開発生産国内最大手。政府が黄金株保有。豪州でLNG案件(イクシス)を操業,原油76、天然ガス23、他1【海外】68 <24.12>,"石油（国内）,関東",脱炭素,,,,,,,,,,68
160A,アズパートナーズ,東証スタンダード,介護付き有料老人ホームを中心とするシニア事業が柱。介護施設の開発など担う不動産事業も,シニア77(11)、不動産23(36) <25.3>,関東,介護,シニア,不動産,,77,23,,11,36,,
165A,SBIレオスひふみ,東証グロース,投資信託委託として『ひふみ』ブランドを運用。企業年金など受託運用の投資顧問やVCも,投資運用100 <25.3>,運用会社,投資信託,,,,,,,,,,
1662,石油資源開発,東証プライム,原油・ガス開発専業。国内の天然ガス田操業が基盤。カナダ・重質油事業は売却。再エネにも注力,E&P33、インフラ・ユーティリティ49、他18【海外】28 <25.3>,"石油（国内）,関東",バイオマス発電,,,,,,,,,,28
1663,K&Oエナジーグループ,東証プライム,持株会社。天然ガス開発から都市ガス供給まで一貫。輸出柱のヨウ素の生産・販売で世界有数,ガス78(7)、ヨウ素15(55)、他7(6) <24.12>,"電力ガス,関東",脱炭素,ガス,ヨウ素,,78,15,,7,55,,
166A,タスキホールディングス,東証グロース,新築投資用マンションのタスキと資産運用型の新日本建物が24年4月共同持株会社設立,Life Platform100(9)、Finance Consulting0(46) <24.9>,,M&A,Life Platform,Finance Consulting,,100,0,,9,46,,
167A,リョーサン菱洋ホールディングス,東証プライム,独立系半導体商社大手。24年リョーサンと菱洋エレが統合。マイコンやCPU・GPUに強み,デバイス72(2)、ソリューション28(4)【海外】50 <25.3>,"専門商社,関東",生成AI,デバイス,ソリューション,,72,28,,2,4,,50
168A,イタミアート,東証グロース,のぼり旗、幕、看板など広告宣伝用商材をネット販売。全工程を自社で、短納期・低価格が強み,のぼり51、幕26、うちわ5、冊子4、他14 <25.1>,中国四国,eコマース,,,,,,,,,,
1711,SDSホールディングス,東証スタンダード,省エネ施設の設計・施工で再建図る。太陽光発電事業は大型から自家消費型の施工販売へ転換,省エネルギー関連17(7)、リノベーション83(4) <25.3>,"電力ガス,関東",防災・減災,リノベーション,省エネルギー関連,,83,17,,4,7,,
1712,ダイセキ環境ソリューション,東証スタンダード,汚染土壌の調査から浄化処理までの一貫体制に特徴。名古屋地盤だが関東、関西でも展開拡大,土壌汚染調査・処理72(14)、資源リサイクル28(18) <25.2>,リサイクル,リサイクル,土壌汚染調査・処理,資源リサイクル,,72,28,,14,18,,
1716,第一カッター興業,東証スタンダード,ダイヤモンド使用のコンクリート構造物切断・穿孔工事が主力。水圧のウォータージェットも,切断・穿孔工事96(18)、ビルメンテナンス2(5)、リユース・リサイクル2(-7) <24.6>,"建設,関東",高速道路,切断・穿孔工事,ビルメンテナンス,,96,2,,18,5,,
1717,明豊ファシリティワークス,東証スタンダード,事務所や工場、学校などの建設・移転を支援するCM(コンストラクションマネジメント)主力,オフィス20(10)、CM57(26)、CREM16(22)、DX支援7(17) <25.3>,関東,DX化支援,CM,オフィス,CREM,57,20,16,26,10,22,
1718,美樹工業,東証スタンダード,大阪ガス軸のガス工事、子会社のセキスイハイム販売など住宅、建設が柱。不動産賃貸を育成,建設56(5)、住宅43(3)、他1(5) <24.12>,"建設,戸建て,近畿",ホテル,建設,住宅,,56,43,,5,3,,
1719,安藤ハザマ,東証プライム,ダム、トンネルなど大型土木に定評ある準大手ゼネコン。建築主力の安藤建設を13年に吸収合併,土木31(11)、建築61(10)、グループ6(1)、他2(9) <25.3>,"建設,リニア,関東",自動運転,建築,土木,グループ,61,31,6,10,11,1,
1720,東急建設,東証プライム,東急系の中堅ゼネコン。グループからの受注1割程度。渋谷駅前や東急沿線の開発案件に強み,建築75(5)、土木23(7)、不動産等2(30) <25.3>,"建設,万博,リニア",,建築,土木,不動産等,75,23,2,5,7,30,
1721,コムシスホールディングス,東証プライム,キャリア向けの電気通信工事大手。ネットワーク構築に強み。インフラ工事やIT構築を強化中,日本コムシス50(7)、サンワコムシス7(4)、TOSYS6(7)、つうけん11(10)、NDS14(6)、SYSKEN他12(19) <25.3>,"専門工事,関東",データセンター,日本コムシス,NDS,SYSKEN他,50,14,12,7,6,19,
1723,日本電技,東証スタンダード,ビル空調計装工事の大手。工場搬送ライン用などの自動制御システムも展開。アズビルと提携,空調計装関連91(34)、産業システム関連9(12) <25.3>,"建設,関東",半導体関連,空調計装関連,産業システム関連,,91,9,,34,12,,
1724,シンクレイヤ,東証スタンダード,CATV事業者向けシステム構築。インターネットサービスへ展開。無線通信事業に参入,トータル・インテグレーション55、機器インテグレーション45 <24.12>,"建設,中部",防災・減災,,,,,,,,,,
1726,ビーアールホールディングス,東証プライム,極東興和が中核。中国、関西地盤のPC橋梁大手。M&Aで関東、東北へエリア拡大し全国化,建設84(10)、製品販売15(1)、情報システム1(7)、不動産賃貸0(66) <25.3>,"建設,中国四国",高速道路,建設,製品販売,情報システム,84,15,1,10,1,7,
1736,オーテック,東証スタンダード,工場・ビル空調自動制御設備の建設、施工、メンテなどが柱。建築設備資材や機器販売も展開,環境システム64(24)、管工機材36(1) <25.3>,"建設,関東",空調,環境システム,管工機材,,64,36,,24,1,,
173A,ハンモック,東証グロース,ネットワーク、セールスDX、AIデータエントリーの各ソリューション提供。SaaSが中心,ネットワークソリューション61、セールスDXソリューション29、AIデータエントリーソリューション10 <25.3>,,AI,,,,,,,,,,
1743,コーアツ工業,東証スタンダード,橋梁工事中心の中堅。官公需8割。九州地盤。プレストレストコンクリ技術に定評。売電事業も,建設91(7)、コンクリート製品8(3)、不動産1(74)、売電1(48) <24.9>,"建設,九州沖縄",国土強靱化,建設,コンクリート製品,不動産,91,8,1,7,3,74,
1757,創建エース,東証スタンダード,社名変更頻繁。建設主体。コスメ衛生品、自動車オイル等で再建狙ったが不発、経営陣入れ替わる,建設82(-81)、コスメ衛生関連6(-71)、他12(34) <24.3>,,衛生,,,,,,,,,,
1758,太洋基礎工業,東証スタンダード,地中連続壁など特殊土木工事(官公需)と積水ハウスの住宅地盤改良工事が2本柱。建築事業も,特殊土木工事39(3)、住宅関連工事34(3)、環境関連工事10(12)、建築16(-14)、機械製造販売0(15)、再生可能エネルギー0(56) <25.1>,"建設,中部",再生可能エネルギー,特殊土木工事,住宅関連工事,環境関連工事,39,34,10,3,3,12,
175A,Will Smart,東証グロース,ゼンリンIT子会社から独立した交通専門のSI・コンサル。空港などの運行表示装置に実績,モビリティ100 <24.12>,,大阪・関西万博,,,,,,,,,,
1762,高松コンストラクショングループ,東証プライム,準大手ゼネコン。賃貸マンション建築の高松建設と土木の青木あすなろ建設が中核。買収積極的,建築47(2)、土木29(6)、不動産24(9) <25.3>,"建設,近畿",建築・土木,建築,土木,不動産,47,29,24,2,6,9,
1764,工藤建設,東証スタンダード,神奈川地盤の中堅建設。大規模修繕工事に強み。不動産も。介護(老人ホーム)のM&Aに注力,建設52(4)、不動産販売1(9)、建物管理18(7)、介護29(5) <24.6>,"建設,関東",M&A,建設,介護,建物管理,52,29,18,4,5,7,
1766,東建コーポレーション,東証プライム,地主に賃貸住宅経営提案し施工から管理、仲介まで一貫化。住宅設備子会社を傘下に持つ,建設39(4)、不動産賃貸61(7)、他1(3) <24.4>,"不動産仲介,投資,中部",サブリース,不動産賃貸,建設,,61,39,,7,4,,
1768,ソネック,東証スタンダード,兵庫県(東播磨)地盤とする民間建築中心の中堅ゼネコン。子会社で化学製品運輸事業。無借金,建設98(4)、運輸2(5) <25.3>,"建設,近畿",ベトナム,建設,運輸,,98,2,,4,5,,
176A,レジル,東証グロース,マンション一括受電代行軸に法人向け再エネ電力小売り、エネルギー事業者向けDX支援展開,分散型エネルギー53(13)、グリーンエネルギー44(9)、エネルギーDX3(18) <24.6>,"脱炭素,関東",防災・減災,分散型エネルギー,グリーンエネルギー,エネルギーDX,53,44,3,13,9,18,
1770,藤田エンジニアリング,東証スタンダード,群馬県が地盤の設備工事中堅。空調・産業設備の保守に強み。情報システムや電子部品製造も,建設56(9)、機器販売及び情報システム17(4)、機器のメンテナンス21(9)、電子部品製造5(5) <25.3>,"建設,関東",情報システム,建設,機器のメンテナンス,機器販売及び情報システム,56,21,17,9,9,4,
1773,YTL,東証プライム,マレーシアの複合企業で、発電、給・排水処理、建設、不動産開発、セメント製造、高速鉄道などを展開。ホテル事業も行い、北海道のニセコビレッジを保有,,,マーケット指標,,,,,,,,,,
1776,三井住建道路,東証スタンダード,道路舗装中堅。三井住友G関連の工事が強み。官庁以外の工事拡大に注力。有利子負債ゼロ,建設82(9)、製造・販売18(4)、他0(33) <25.3>,"建設,関東",道路工事,建設,製造・販売,,82,18,,9,4,,
177A,コージンバイオ,東証グロース,細胞治療や再生医療の研究向けに細胞培養用培地を供給。自社で医療機関から細胞加工受託も,組織培養44(34)、微生物34(25)、細胞加工22(27) <25.3>,関東,再生医療,組織培養,微生物,細胞加工,44,34,22,34,25,27,
1780,ヤマウラ,東証プライム,長野県内の建築、土木が中心。民間の比率高い。産業設備等のエンジ、首都圏マンション開発も,建設80(15)、エンジニアリング11(17)、開発等8(8) <25.3>,"建設,中部",マンション分譲,建設,エンジニアリング,開発等,80,11,8,15,17,8,
1783,fantasista,東証スタンダード,20年に建設、ゴルフ事業から撤退。不動産販売を主軸にコンサルも。22年ヘルスケア事業に進出,リアルエステート95(15)、ヘルスケア4(0)、不動産コンサルティング0(-65) <24.9>,関東,不動産販売,リアルエステート,ヘルスケア,,95,4,,15,0,,
1786,オリエンタル白石,東証プライム,コンクリ橋、鋼橋を手がける橋梁の総合建設。ケーソン工事でシェア7割。伊藤忠が筆頭株主,建設84(9)、鋼構造物11(4)、港湾5(2)、他0(30) <25.3>,"建設,関東",橋梁,建設,鋼構造物,港湾,84,11,5,9,4,2,
1787,ナカボーテック,東証スタンダード,鉄鋼構造物などの腐食抑える防食専業のエンジニアリング。業界首位。RCなど新規事業育成,港湾63(25)、地中19(27)、陸上7(43)、他10(14) <25.3>,"プラント,関東",洋上風力発電,港湾,地中,陸上,63,19,7,25,27,43,
1788,三東工業社,東証スタンダード,売上高の8割強が滋賀県内の建設会社。官公需軸の土木から民間に軸足。県内資源活用に意欲,土木59(6)、建築41(-3)、環境開発0(37) <24.6>,"建設,近畿",建築・土木,土木,環境開発,,59,0,,6,37,,
1793,大本組,東証スタンダード,土木主体中堅から建築主体にシフト。岡山を地盤に全国展開。無人化施工技術など独自技術強み,建築48(11)、土木52(8) <25.3>,"建設,関東,中国四国",防災・減災,土木,建築,,52,48,,8,11,,
1795,マサル,東証スタンダード,ビル、マンション等のシーリング(外壁防水)工事でトップ。リニューアル(補修・改修)を強化,建設工事90(5)、設備工事10(4) <24.9>,"建設,リフォーム,関東",防水,建設工事,設備工事,,90,10,,5,4,,
1798,守谷商会,東証スタンダード,長野地盤の中堅建設。首都圏、中部圏でも営業。地中熱利用など再生可能エネルギー事業に注力,建築77(9)、土木16(6)、不動産7(7) <25.3>,"建設,中部",建築・土木,建築,土木,不動産,77,16,7,9,6,7,
1799,第一建設工業,東証スタンダード,JR東日本系。線路工事など同社依存度約7割。非鉄道も強化。関東、信越、東北地盤。好財務,建設98(12)、不動産2(22) <25.3>,"建設,中部",防災・減災,建設,不動産,,98,2,,12,22,,
1801,大成建設,東証プライム,最大手ゼネコンの一角。非同族系。首都圏再開発から大型土木まで全方位展開。不動産開発も,土木29(13)、建築64(1)、開発6(16)、他1(13) <25.3>,"建設,万博,リニア",モノ言う株主,建築,土木,開発,64,29,6,1,13,16,
1802,大林組,東証プライム,最大手ゼネコンの一角。関西発祥、首都圏でも大型建築・土木に実績。不動産開発や海外展開も,建設95(5)、不動産3(22)、他2(4) <25.3>,"建設,万博,リニア",データセンター,建設,不動産,,95,3,,5,22,,
1803,清水建設,東証プライム,最大手ゼネコンの一角。首都圏、民間建築が主力。環境エネルギーに注力。配当性向40%メド,当社建設70(4)、当社投資開発3(31)、道路舗装8(6)、他19(5) <25.3>,"建設,万博,リニア",政策保有株,当社建設,道路舗装,当社投資開発,70,8,3,4,6,31,
1807,佐藤渡辺,東証スタンダード,道路舗装工事の中堅。旧渡辺組と旧佐藤道路が合併して誕生。佐藤工業、東亜道路工業と提携,舗装工事73、土木工事等15、製品等販売12 <25.3>,"建設,関東",高速道路,,,,,,,,,,
1808,長谷工コーポレーション,東証プライム,マンション建築首位。土地手当て、計画立案から施工まで一貫モデル構築。販売や管理、仲介も,建設関連62(7)、不動産関連15(14)、サービス関連23(7)、海外関連0(-163) <25.3>,"建設,シェアオフィス,関東",マンション建設,建設関連,サービス関連,不動産関連,62,23,15,7,7,14,
1810,松井建設,東証スタンダード,1586年創業、社寺建築で優れた技術。学校や病院、住宅など民間建築が中心。太陽光発電も,建設98(4)、不動産等2(30) <25.3>,"建設,関東",働き方改革,建設,不動産等,,98,2,,4,30,,
1811,錢高組,東証スタンダード,1705年創業、関西本拠の老舗中堅ゼネコン。官民比率は3対7、マンション比率約1割,建設98(3)、不動産2(52) <25.3>,"建設,関東",建築・土木,建設,不動産,,98,2,,3,52,,
1812,鹿島,東証プライム,最大手ゼネコンの一角。同族色。超高層、耐震、原発技術に強み。国内外の不動産開発に実績,土木14(9)、建築36(5)、開発4(27)、国内関係会社8(5)、海外関係会社38(2)【海外】38 <25.3>,"建設,万博,リニア",ラピダス,海外関係会社,建築,土木,38,36,14,2,5,9,38
